rowid,artist,album,track,genre,release_year,null_response,duration_ms,time_signature,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,popularity,song_age,popularity_per_year
4141006,La Lupe,La Lupe Is Back,Es Que Soy Yo,bolero,1960,0,143667,,98.702,2,0,0.343,0.747,-4.391,0.101,0.303,0.0,0.0442,0.64,1.0,66,0.0152
15447519,David Rose,Like Blue,Like Blue,exotica,1960,0,131346,,67.229,8,1,0.358,0.472,-10.87,0.0337,0.942,0.847,0.372,0.352,2.0,66,0.0303
56254709,Lucio Alves,A Noite Do Meu Bem...,Vou Chorar,bossa nova,1960,0,133461,,86.377,6,0,0.499,0.22,-14.451,0.0453,0.958,0.00183,0.112,0.526,1.0,66,0.0152
196043787,Rod Lauren,If I Had a Girl (Mono Version),Listen My Love,doo-wop,1960,0,138652,,72.573,11,0,0.369,0.244,-18.727,0.0404,0.707,2.61e-05,0.154,0.425,1.0,66,0.0152
124537064,Merle Travis,Walkin' The Strings,Darby's Ram - Instrumental,bluegrass,1960,0,152160,,203.943,10,0,0.601,0.199,-13.909,0.245,0.834,0.0,0.0992,0.521,2.0,66,0.0303
83847337,"Melvin ""Lil' Son"" Jackson",Blues Come to Texas,Blues Come to Texas,blues,1960,0,100333,,133.094,2,1,0.645,0.193,-13.678,0.0377,0.971,0.000397,0.0804,0.509,1.0,66,0.0152
124537080,Merle Travis,Walkin' The Strings,"Take My Hand, Precious Lord - Instrumental",bluegrass,1960,0,120013,,138.343,5,1,0.588,0.0805,-16.529,0.0396,0.817,0.0,0.113,0.55,1.0,66,0.0152
2639665,Ritchie Valens,In Concert at Pacoima Jr. High,From Beyond - Live,doo-wop,1960,0,235373,,117.076,5,1,0.493,0.808,-13.36,0.244,0.987,0.756,0.908,0.602,21.0,66,0.3182
97342886,Bob Fleming,Bob Fleming,Se Acaso Você Chegasse / Agora é Cinza,bolero,1960,0,150000,,92.901,0,0,0.566,0.474,-10.039,0.0265,0.761,1.16e-05,0.205,0.843,9.0,66,0.1364
123360541,Paul Anka,Swings For Young Lovers (Remastered),Secret Love - Remastered,adult standards,1960,0,141640,,132.443,7,1,0.388,0.326,-11.673,0.0292,0.626,0.0,0.0893,0.548,4.0,66,0.0606
6890816,Glenn Gould,Glenn Gould in Concert (1951-1960),"Goldbergvariationen, BWV 988: Aria (Der englische Patient): Variatio 15. Canone alla Quinta. a 1 Clav.",classical piano,1960,0,134547,,118.169,7,0,0.549,0.0652,-28.348,0.0719,0.995,0.906,0.236,0.61,1.0,66,0.0152
15447516,David Rose,Like Blue,Blue Holiday,exotica,1960,0,142404,,93.058,0,1,0.456,0.537,-12.187,0.0392,0.757,0.847,0.106,0.516,2.0,66,0.0303
49813465,Roosevelt Sykes,The Honeydripper,Mislead Mother,blues,1960,0,193707,,121.714,0,1,0.585,0.423,-10.966,0.0723,0.951,0.000375,0.142,0.69,2.0,66,0.0303
95878911,Maria Albertina,Alfama Velhinha,Castelo Branco,fado,1960,0,123552,,115.065,8,0,0.597,0.258,-13.101,0.0376,0.839,6.66e-06,0.231,0.598,1.0,66,0.0152
56254704,Lucio Alves,A Noite Do Meu Bem...,Ideias Erradas,bossa nova,1960,0,141704,,100.881,5,1,0.477,0.257,-12.259,0.046,0.972,0.0,0.13,0.56,1.0,66,0.0152
6798956,Cathy Berberian,Cathy Pop Art Berberian,Sequenza III for voice,avant-garde,1960,0,429533,,99.823,5,1,0.351,0.0188,-26.401,0.0839,0.946,0.000121,0.121,0.0387,2.0,66,0.0303
135387295,Manos Hadjidakis,Vintage Movies No. 23 - EP: Jamais Le Dimanche,"Les Enfants Du Pirée, Chanté Par Melina Mercouri",entehno,1960,0,190631,,121.387,0,1,0.508,0.467,-8.38,0.0369,0.911,3.57e-06,0.124,0.503,5.0,66,0.0758
14875271,Johnny Otis,Ring a Ling,Good Golly,doo-wop,1960,0,112813,,79.867,3,1,0.666,0.586,-9.637,0.0718,0.646,3.12e-05,0.0666,0.814,15.0,66,0.2273
6890648,Leonard Bernstein,Prokofiev: Peter and the Wolf - Saint-Saëns: Carnival of the Animals,"Peter and the Wolf, Op. 67",classical,1960,0,1634227,,84.82,0,1,0.415,0.0981,-23.544,0.144,0.905,0.00667,0.142,0.216,6.0,66,0.0909
91837355,Sylvia de Grasse,La Cita,El Chicotazo,exotica,1960,0,149042,,109.849,7,0,0.747,0.564,-12.324,0.116,0.843,8.02e-05,0.203,0.82,1.0,66,0.0152
24078659,Vladimir Ashkenazy,Chopin: Etudes,"Études, Op. 25: No. 6 in G-Sharp Minor",classical piano,1960,0,111907,,75.416,8,0,0.18,0.237,-21.517,0.0348,0.99,0.922,0.109,0.463,2.0,66,0.0303
2467867,The Belafonte Singers,Belafonte Returns to Carnegie Hall (Live),The Red Rosy Bush - Live,calypso,1960,0,176831,,179.134,9,1,0.187,0.362,-16.226,0.219,0.979,4.89e-06,0.705,0.236,2.0,66,0.0303
121781526,La Sonora Santanera,Mis 30 Mejores Canciones,El Orangután,bolero,1960,0,159933,,103.895,9,0,0.79,0.668,-9.509,0.255,0.731,0.00452,0.0435,0.98,17.0,66,0.2576
185926947,The Angels,A Moment Ago,My Boyfriends Back - (Alternate Take),doo-wop,1960,0,138187,,135.25,8,1,0.785,0.913,-7.26,0.198,0.0319,0.411,0.181,0.784,7.0,66,0.1061
74808626,Lightnin' Slim,Lightning Slim presents Rooster Blues,Ethel Mae,blues,1960,0,196653,,175.449,8,1,0.502,0.268,-9.704,0.0719,0.994,0.0479,0.111,0.435,1.0,66,0.0152
113960827,Stan Getz,Cool Velvet: Stan Getz And Strings,It Never Entered My Mind,bossa nova,1960,0,246867,,177.68,1,0,0.188,0.118,-14.742,0.0398,0.964,0.0985,0.085,0.215,41.0,66,0.6212
123555398,Gerry Mulligan,Concert Jazz Band Live At The Village Vanguard,Let My People Be - Live At The Village Vanguard / 1960,cool jazz,1960,0,479573,,98.42,5,1,0.636,0.26,-16.259,0.0519,0.355,0.00181,0.636,0.469,5.0,66,0.0758
124613804,Count Basie,In Disco Order,Love Flower,big band,1960,0,175933,,169.103,2,1,0.375,0.399,-10.346,0.0421,0.121,0.115,0.193,0.229,1.0,66,0.0152
5439998,New York Philharmonic,Leonard Bernstein: The Complete Mahler Symphonies,"Symphony No. 2 in C Minor ""Resurrection"": II. Andante moderato",classical,1960,0,701227,,80.612,8,1,0.186,0.0884,-22.104,0.0402,0.887,0.705,0.0804,0.119,20.0,66,0.303
62766851,Elizeth Cardoso,A Meiga Elizeth,Pela Rua,bossa nova,1960,0,257067,,102.645,0,0,0.342,0.206,-12.508,0.0364,0.978,0.0239,0.113,0.165,2.0,66,0.0303
33256604,Radha Viswanathan,"Balaji Pancharatnamala, Vol. 2",Tolliyunu,devotional,1960,0,281133,,144.355,8,1,0.325,0.461,-10.881,0.0434,0.773,0.0,0.265,0.408,2.0,66,0.0303
51291311,Javier Solís,Javier Solis Con Acoo De Mariachi,El Loco,bolero,1960,0,174173,,113.384,7,1,0.554,0.301,-13.43,0.0325,0.843,0.00268,0.101,0.563,56.0,66,0.8485
138879496,Memphis Slim and Willie Dixon,"Songs of Memphis Slim and ""Wee Willie"" Dixon",Joggie Boogie,blues,1960,0,208107,,100.872,5,1,0.471,0.13,-25.392,0.0855,0.767,0.839,0.0575,0.963,6.0,66,0.0909
74934561,Dominic Behan,Down by the Liffeyside: Irish Street Ballads,John Mitchell,celtic,1960,0,219160,,83.79,2,0,0.451,0.0186,-26.284,0.0686,0.986,5.55e-06,0.108,0.365,1.0,66,0.0152
2639664,Ritchie Valens,In Concert at Pacoima Jr. High,Summertime Blues - Live in Concert at Pacoima Jr. High,doo-wop,1960,0,185200,,134.837,5,1,0.424,0.425,-17.133,0.393,0.992,0.916,0.181,0.577,12.0,66,0.1818
124982892,Buddy Greco,Songs for Swinging Losers,By Myself,adult standards,1960,0,117040,,110.466,5,0,0.551,0.416,-12.103,0.0597,0.601,0.000198,0.102,0.655,6.0,66,0.0909
97342881,Bob Fleming,Bob Fleming,A Noite do Meu Bem / Fim de Caso,bolero,1960,0,194000,,96.851,7,0,0.545,0.313,-11.71,0.0413,0.843,0.726,0.209,0.423,12.0,66,0.1818
47365023,Dalida,Accompagnèe par Raymond Lefevre et son orchestre,Marina,chanson,1960,0,121594,,95.289,11,1,0.537,0.434,-8.124,0.0438,0.447,0.0,0.47,0.671,1.0,66,0.0152
35383743,The Louvin Brothers,Satan Is Real,The River Of Jordan,christian country,1960,0,138573,,181.616,9,1,0.559,0.405,-10.123,0.0305,0.773,3.76e-06,0.0968,0.824,26.0,66,0.3939
123489615,Maria Luisa Landin,Te Espero,Que Murmuren,bolero,1960,0,188213,,100.802,4,0,0.595,0.0884,-18.675,0.0547,0.793,0.0,0.382,0.532,8.0,66,0.1212
6798961,Cathy Berberian,Cathy Pop Art Berberian,Avendo Gran Disio,avant-garde,1960,0,264467,,90.899,1,1,0.329,0.105,-20.425,0.0815,0.988,0.00756,0.752,0.0382,1.0,66,0.0152
72293505,Ral Donner,I Don't Need You,Will You Love Me in Heaven,doo-wop,1960,0,116267,,80.24,6,1,0.59,0.507,-10.287,0.039,0.796,0.0,0.305,0.859,2.0,66,0.0303
6890803,Glenn Gould,Glenn Gould in Concert (1951-1960),"Goldbergvariationen, BWV 988: Aria (Der englische Patient): Variatio 2. a 1 Clav.",classical piano,1960,0,39213,,100.655,4,0,0.407,0.168,-25.051,0.0527,0.995,0.916,0.107,0.982,1.0,66,0.0152
2608378,Wilbert Harrison,The Fire/Fury Records Story - Rarities Collection,Happy in Love,doo-wop,1960,0,127047,,102.337,9,1,0.72,0.58,-7.47,0.04,0.667,3.14e-05,0.129,0.936,6.0,66,0.0909
33241193,T. M. Soundararajan,Mannadhi Mannan (Original Motion Picture Soundtrack),Achcham Enbathu,devotional,1960,0,289627,,135.887,1,1,0.556,0.505,-10.458,0.0366,0.966,0.00115,0.106,0.85,17.0,66,0.2576
6890805,Glenn Gould,Glenn Gould in Concert (1951-1960),"Goldbergvariationen, BWV 988: Aria (Der englische Patient): Variatio 4. a 1 Clav.",classical piano,1960,0,45907,,95.854,7,1,0.435,0.36,-18.358,0.0534,0.994,0.859,0.159,0.963,1.0,66,0.0152
99875630,Pan World,(Gotta Be) The Right Time b/w How Do I Stand With You,How Do I Stand With You,exotica,1960,0,139100,,61.853,1,0,0.261,0.266,-12.42,0.0332,0.872,0.0,0.102,0.331,1.0,66,0.0152
47470932,Al Caiola,Italian Guitars,Mattinata,exotica,1960,0,155643,,95.558,0,1,0.365,0.54,-12.639,0.0357,0.654,0.274,0.256,0.447,3.0,66,0.0455
102297957,Birgitta Andersson,Sveriges vackraste röst,Balladen om Snorgerd,comedy,1960,0,316382,,77.67,8,1,0.517,0.326,-14.141,0.827,0.865,0.0,0.441,0.375,2.0,66,0.0303
15437678,George Melachrino,The Music of Victor Herbert & Sigmund Romberg,"Lover, Come Back to Me",easy listening,1960,0,235307,,73.823,2,1,0.0805,0.127,-20.906,0.0454,0.926,0.789,0.413,0.0396,1.0,66,0.0152
2659351,Paul Weston,The Sweet And The Swingin',Bye Bye Blues,big band,1960,0,152067,,115.711,5,0,0.571,0.328,-13.708,0.0373,0.207,6.92e-05,0.155,0.615,1.0,66,0.0152
29476379,Peggy Seeger,Songs of Two Rebellions: The Jacobite Wars of 1715 and 1745 in Scotland,Such a Parcel of Rogues in a Nation,folk,1960,0,170653,,82.396,8,1,0.465,0.0522,-14.179,0.038,0.98,0.0,0.127,0.437,1.0,66,0.0152
34845306,Moacyr Silva,Sax - Voz,Meditação,brazilian jazz,1960,0,154107,,127.954,7,0,0.562,0.513,-10.451,0.0457,0.0491,0.000641,0.201,0.832,1.0,66,0.0152
23756898,Brooks Smith,Heifetz (Various Works),"Hungarian Dance, No. 20 in D Minor",classical,1960,0,144653,,99.906,2,0,0.298,0.117,-19.081,0.0444,0.909,0.0255,0.12,0.218,1.0,66,0.0152
123360555,Paul Anka,Anka At The Copa (Live / Remastered),Swanee - Live / Remastered,adult standards,1960,0,123560,,146.532,0,1,0.467,0.66,-13.119,0.56,0.714,0.0,0.978,0.743,2.0,66,0.0303
25890072,Juilliard String Quartet,"Debussy: String Quartet in G Minor, Op. 10, L. 85 - Ravel: String Quartet in F Major, M. 35","String Quartet in G Minor, Op. 10, L. 85: IV. Très modéré",chamber music,1960,0,428067,,128.112,0,1,0.326,0.243,-15.538,0.0406,0.949,0.393,0.0882,0.138,11.0,66,0.1667
7110783,Henry Mancini,The Blues and the Beat,The Attack,exotica,1960,0,172130,,119.79,7,1,0.571,0.27,-13.892,0.0442,0.848,0.708,0.337,0.438,4.0,66,0.0606
47482342,Cy Coleman,Playboy's Penthouse,"Top Hat, White Tie and Tails",exotica,1960,0,206599,,130.277,0,1,0.842,0.313,-11.93,0.038,0.848,0.0165,0.142,0.631,1.0,66,0.0152
62228042,Dean Martin,Bells Are Ringing,Do It Yourself,christmas,1960,0,111133,,101.526,6,1,0.585,0.288,-9.899,0.0361,0.81,0.0,0.233,0.473,5.0,66,0.0758
23841128,I Musici,Locatelli: Violin Concertos,"Violin Concerto in D major Op. 3, No. 1: 1. Allegro",classical,1960,0,291000,,179.421,9,1,0.265,0.134,-15.887,0.0376,0.933,0.883,0.0518,0.262,1.0,66,0.0152
35004556,Astrid Lindgren Deutsch,Tomte Tummetott und der Fuchs - Filmhörspiel,Kapitel 1.1 - Tomte Tummetott und der Fuchs - Filmhörspiel,children's music,1960,0,187900,,106.767,11,0,0.603,0.347,-14.47,0.801,0.406,2.04e-06,0.17,0.559,17.0,66,0.2576
34825464,George Shearing Quintet,Latin Affair (The George Shearing Quintet),Magic,cool jazz,1960,0,139680,,119.981,4,1,0.728,0.359,-15.027,0.0512,0.951,0.827,0.0878,0.852,6.0,66,0.0909
97342908,Bob Fleming,Sax in Love,Taking a Chance on Love,bolero,1960,0,116040,,75.206,5,0,0.635,0.36,-5.429,0.0353,0.646,0.923,0.0917,0.819,7.0,66,0.1061
5165851,Charlie Parker,Volume II,Perdido,bebop,1960,0,361771,,104.533,0,0,0.516,0.85,-12.674,0.156,0.739,0.875,0.842,0.567,1.0,66,0.0152
210874440,Les 3 baladins,Farandoles et chansons (Mono Version),La jardinière du roi,chanson,1960,0,131143,,110.747,9,1,0.499,0.0444,-22.969,0.0606,0.995,0.21,0.147,0.233,1.0,66,0.0152
123465179,Dinah Shore,Season's Best,Coventry Carol,big band,1960,0,132720,,98.067,0,0,0.247,0.147,-14.433,0.0373,0.982,1.26e-05,0.115,0.0395,1.0,66,0.0152
131102111,合唱団 京都エコー,心のふるさと　抒情歌ベスト,椰子の実,choral,1960,0,184160,,131.641,7,1,0.259,0.23,-17.461,0.0366,0.994,0.158,0.104,0.123,6.0,66,0.0909
49643635,Eileen Barton,Cry Me A River,If I Knew You Were Comin' I'd've Baked a Cake,adult standards,1960,0,156502,,170.089,8,1,0.734,0.444,-4.901,0.129,0.806,1.83e-06,0.043,0.963,1.0,66,0.0152
72293507,Ral Donner,I Don't Need You,I Didn't Figure On Him,doo-wop,1960,0,121147,,134.759,9,1,0.683,0.702,-8.324,0.286,0.878,0.0,0.598,0.775,6.0,66,0.0909
27577567,Wiener Philharmoniker,Les meilleures valses de Johann Strauss II (Mono Version),"Le beau Danube bleu, Op. 314",classical,1960,0,188069,,104.256,2,1,0.449,0.253,-13.072,0.0287,0.962,0.849,0.129,0.579,1.0,66,0.0152
88883603,Las Tres Conchitas,Evocación Trío Garnica Ascencio,La Cuera,bolero,1960,0,190537,,113.42,5,1,0.484,0.497,-5.136,0.0419,0.876,0.0,0.15,0.531,1.0,66,0.0152
15609195,Bill Le Sage,Blue Vibrations,Blue Vibrations,exotica,1960,0,65161,,98.698,0,0,0.63,0.369,-9.181,0.0499,0.69,1.82e-05,0.0873,0.8,2.0,66,0.0303
